subjID,P0_Q1,P0_Q2,P0_Q3,P0_Q4,P0_Q5,strategies
s121,2,5,5,4,1,Tried to highlight the path that provides for the most points.
s122,3,7,7,3,1,Trying to gain the most amount of points possible. Try and hit as many 3's or 2's as possible
s123,5,7,6,6,1,Tried to see what useful path that the student could not see.
s124,6,6,4,6,5,I looked at what had the most points and if I thought it would benefit the student.
s125,6,7,4,7,1,I tried to find the path that connected to a 3
s126,4,5,5,5,2,I looked at each row and tried to find where I could increase the score the most
s127,5,5,6,5,3,Looked at what path was taken and then looked if there was a higher point path that it seemed like the student had missed and tried to illuminate that.
s128,4,7,7,5,3,I always tried to guide the student from the very beginning to get more points. I only chose an edge towards the end if the beginning looked okay (if they were already getting a lot of points early on).
s129,6,5,3,5,5,seeing which path would lead to more points
s130,3,6,6,4,1,Loling at the beat path to get the most points and teying to keep in mind that the students dont already know that
s131,2,6,5,3,3,i count what path would create the most possible points
s132,5,6,5,4,2,"I looked for an obvious path to a high scoring circle, or a series of them."
s133,5,7,6,6,2,"start at the bottom, look for the biggest numbers and work my way backwards"
s134,6,6,4,6,4,Trying to open paths for the 3's
s135,2,7,7,2,1,I wanted to select the line connecting the highest sum of the two end points to show that either the first or second point resulting in increased points
s136,2,7,7,4,1,quick math
s137,5,6,3,4,4,I tried to gain the most points
s138,3,4,5,6,1,"Max points, least disruptive."
s139,3,7,7,5,1,I chose the segment that seemed to have the most points
s140,2,4,5,4,5,I looked at the highest number and then tried to work out the change in path that would yield the highest points gain.
s141,5,5,7,5,3,Find the highest reward possible and connect the two most enticing options in that path
s142,3,6,7,4,1,looking for highest combinations
s143,2,5,5,6,1,To highlight direct paths to highpoint circles
s144,4,6,6,5,3,"Looked for the highest number, like a 2 or 3 that they didn't see."
s145,2,5,6,4,3,finding which next step would give the most points
s146,4,3,6,6,2,Determined which path would up their points by even just a single point
s147,5,7,,3,2,Chose what would give the student the most points
s148,5,7,7,6,1,I wanted to get the most points.
s149,5,6,6,5,2,adding the most points
s150,3,6,5,2,2,I tried to choose a segment that led to a higher amount
s151,3,5,5,4,3,get to more points as soon as possible
s152,1,7,6,4,1,highest score
s153,6,7,5,7,5,I looked at which path they likely would be able to combine with existing paths i know they knew to get the best points
s154,4,3,5,5,6,I tried to always give access to a +3 whenever possible
s155,3,6,6,3,2,most points connected by my line
s156,6,6,5,5,2,"i tried to think about what information the student could have that would lead them to choose what they did, and pick the most informative path to open for them"
s157,3,5,6,4,1,"I chose to focus on hitting as many 3's as I could, when it was clear that would lead to the most points."
s158,1,7,5,3,1,"I tried to mentally add up what the best paths would be, and also tried to rely on the student using context clues to figure out the path from there"
s159,5,6,6,3,2,step by step
s160,3,5,5,4,1,teach the student to take the path of the most points.
s162,3,7,7,2,2,I added up the possible points and chose the one that would lead the student to the highest total. Most of that included looking to string multiple 3 points together
s163,3,6,6,2,1,Math
s164,5,7,6,6,3,I choose the best path that would yield points higher than the path the student initially took
s165,5,6,6,5,3,traversing the end points
s166,2,7,6,3,1,which lead to more high-value spots
s167,4,6,6,5,1,"I looked for options to maximize their potential but balancing that with guaranteed wins. Sometimes that meant not going for the most points because there wasn't a guarantee they'd be able to follow that path, but going for the best balance to increase their points"
s168,2,6,7,5,2,Choose the path leading to higher points.
s169,5,6,5,5,3,I wanted to show the connection between the two highest point yielding points.
s170,5,6,4,4,2,I tried to guide the student toward the +3 dots as much as I could. 
s171,2,6,6,3,3,hit most highest numbers possible
s172,3,6,5,2,1,I went by intuition
s173,6,6,5,5,1,I just tried to find the best path with maximum point
s174,3,6,6,6,1,finding the highest number
s175,4,5,5,5,3,I tried to find the students the best possible path to earn more points
s176,4,7,7,5,1,to make sure the connected line added up to more than the students path
s177,2,7,6,2,2,Looking at how much total points I got with each different path
s178,4,6,6,5,2,Looking at the path chosen and trying to figure out what the student could see and what would be the best to reveal
s179,2,7,7,2,1,"look at the path chosen, then pick a line close to that."
s180,3,7,5,4,1,"I just feel like I never could give the student the whole picture, and hardly could help just barely, so I just did my best to suggest as much as I could."
s181,5,7,6,5,3,Choose the highest possible total.
s182,3,7,5,4,1,Try to get at least one 3
s183,1,7,7,1,1,Added up the points in each path and chose the one with most points
s184,2,5,5,2,1,My head went to the highest number path 
s185,4,6,4,5,2,"Tried to see if they would have chosen the path I revealed, in comparison to their chosen path."
s186,6,6,7,7,4,i counted the largest amount of points that i could help the student redeem
s187,3,6,6,3,2,Just adding up the circles quickly to find the highest score and took that path.
s188,5,6,5,5,4,Try to figure out why the student chose their path
s189,2,3,5,3,3,higher numbers together
s190,2,7,4,3,1,I tried to reveal the path that I thought would be most likely to earn the student more points while also taking into consideration what paths they may not be aware of already.
s191,2,7,7,2,1,I tired to show the student the path with the highest point value
s192,6,4,6,5,3,I added up student last try and tried to improve on that
s193,5,7,6,4,2,Summed up the numbers in my head to pick the best ones.
s194,3,6,6,4,4,Choose a path that gives them a chance of going to a circle with higher points
s195,2,7,6,2,1,"try to find an ""intersection"" where if the student chose a different direction, that they would definitely increase in points"
s196,5,7,5,6,4,"I traced possible paths with my eyes, adding them up mentally and picking the path with the highest sum."
s197,5,7,5,7,2,"Gut and logic, trying to figure the path choice that wouldn't confuse student."
s198,1,7,7,2,2,ensuring that the total points would be higher
s199,3,6,5,5,2,I tried to think about what they already knew based on the solid lines and then how I could increase their points by getting them to choose a different path or edge
s200,2,6,5,4,1,tried to complete a connection to the highest number
s203,4,4,4,4,4,
s204,3,6,6,3,1,I tried to reveal a path that was high up on the chart and worth more points than any other at that level
s205,4,7,5,5,2,Find the path that will produce the most points.
s206,4,6,6,6,4,I tried to select the path that would lead to a higher score for the student. 
s207,2,7,7,3,2,I choose the path that would earn the most points and at the same time was clear to the student which direction to take
s208,6,6,5,7,6,I tried to find the path that generated more points.
s209,2,6,6,2,2,scanning for the most points first
s210,3,5,5,3,4,"net points gained from different path (0 to 3 = 3, 0 to 2 = 2, 1 to 3 = 2, etc)"
s211,4,6,7,3,1,Analyze options that would increase the potential total number of points and assume the students didn't know any paths that weren't solid black
s212,5,7,6,5,1,the path with the most points
s213,5,7,5,7,4,To find the simplest path that would lead to the biggest leap in points. 
s214,2,6,6,3,1,"Connect the two highest points; typically that would get them more points than taking a different route, regardless if they got 0 or 1 point(s) in a spot. "
s215,3,7,7,4,1,adding up the points the student had in the path and then focusing on getting teach them to get more
s216,5,5,5,6,2,"Start as strong as possible, with as many points as possible"
s217,1,7,5,2,1,I tried to pick the edge close to the bottom since most of the chart at the top you can already see.
s218,2,5,5,3,5,"at first connecting the most points, by the end looking at what makes sense for a student to have chosen and what missing information i think that they did not have"
s219,3,6,6,2,1,I plotted the value of a path and determined if it was possible to teach it by only highlighting one path
s220,2,6,7,1,1,I tried to pick the path between the two highest numbers
s221,4,6,6,3,1,Whichever appeared to give the most points
s222,5,7,6,5,1,"Looking at the path they took, then looking at which path could improve it. In some cases, it was lower down, in many it was choosing a different first path and either following the rest of their path they did, or that they'd be able to follow where the new suggestion would take them. In one case, I had to add what they had already done vs what I was going to suggest, because I was concerned picking a higher first path actually could end up giving them less points based on what options that gave them below. But I think the one I suggested still gave them one more point."
s223,5,5,6,6,2,ensuring incremental points each student (even if not max points)
s224,2,6,7,6,3,Looked at the path the student took then added up their points. then looked for other paths with higher points balances to suggest to the student 
s225,4,6,6,4,1,Choosing the path that gave at least more than the one taken by the student.
s226,4,7,5,4,2,I looked for the most obvious point addition
s227,2,6,5,6,1,to connect the most points
s228,2,7,7,2,1,Picking the path that would potentially lead to the most points collected
s229,4,6,5,5,3,I tried to find something that branched off their existing path
s230,2,7,4,7,2,I tried to choose the path that would help them change course to the higher scoring path.
s231,2,5,7,2,1,Find the best path to a max amount and find the best line to take 
s232,6,5,4,6,3,Calculating which path gives the student the most points
s233,5,6,5,6,4,see total possible point could get on each path
s234,4,6,5,5,4,whichever gives the most points
s235,6,5,6,6,2,The most overall points
s236,5,5,6,4,2,Looked where the larger numbers were and tried to direct the path there
s237,5,6,6,4,2,connecting the lines to the highest number below to increase more points
s238,5,6,6,5,2,I always chose the path that would afford the student the most points.
s239,3,6,7,4,1,I tried to follow the student's path and then use a branching path that I assumed they saw at least part of and then clicked the better path that was attached to it.
s240,5,6,6,6,4,"Attempting their path and seeing if they should have approached it different initially. Otherwise, is if they are on the right track I will lead them to the next possible highest point."
s241,3,6,6,2,6,Most of the time I choose to reveal a path to bottom node
s242,5,5,6,,3,Whatever makes more points
s243,2,6,6,3,1,I picked the route that would reward more points but built on what the student already knew.
s244,3,7,6,3,1,Tried to pick out the path that gave the most points between two spots
s245,2,4,4,2,2,higher numbers
s246,5,6,7,6,1,I tried to pick the paths that would create the most points.
s247,7,7,6,6,1,the path that would most likely help the student pick the highest paying route
s248,5,7,6,3,1,"The path that is known to give more points. If not, the path that has the potential to unlock more points"
s249,5,4,5,4,1,Going for the +3
s250,2,6,6,2,1,best guess
s251,4,6,3,6,2,"I tried to maximize points by leading them to a better path, but also visualizing what they probably could see. "
s252,6,3,3,5,5,Just considered the last line
s253,4,6,6,4,2,Tried to come up with the best possible point combinations.
s254,5,6,6,5,3,I looked at the path of highest amount in total
s255,5,7,5,4,1,Choosing the path that would take you through at least one +3
s256,6,5,5,6,3,Not sure
s257,2,7,5,5,1,I tried to map out the best path with the highest number of points
